"word"	"ndf"	"ndf_FRA"	"ndf_ITA"	"ndf_BGR"	"ndf_DEU"	"ndf_CAN"	"ndf_USA"	"ntf"	"ntf_FRA"	"ntf_ITA"	"ntf_BGR"	"ntf_DEU"	"ntf_CAN"	"ntf_USA"	"category"
"checked"	0.00492124799961496	0.00111358574610245	0.0009000900090009	0.00403000111944476	0.00233839986637715	0.00647580095432856	0.00586536129302551	0.0074239853686123	0.00136104924523633	0.0009000900090009	0.00559722377700661	0.00250542842826123	0.010906612133606	0.010297457608432	"condLog"
"departure"	0.00498140995560048	0.00866122246968572	0.00675067506750675	0.00369416769282436	0.00618005678971104	0.00391956373551466	0.00315318295076184	0.00705098124150212	0.0206632021776788	0.0121512151215122	0.00481361244822568	0.0103557708368131	0.00494205862304022	0.00383674009393398	"condLog"
"waiting"	0.00443995235173086	0.00507300173224449	0.00405040504050405	0.00403000111944476	0.00350759979956573	0.00528289025221541	0.00454234746753104	0.00637716733446438	0.0082900272209849	0.00517551755175518	0.00615694615470727	0.00501085685652247	0.0081799591002045	0.00617406451897422	"condLog"
"arriving"	0.0032367132320206	0.00259836674090572	0.00247524752475248	0.00425389007052502	0.00217137130449307	0.00408997955010225	0.00317523318118674	0.00410304539821199	0.00334075723830735	0.00337533753375338	0.0062688906302474	0.00217137130449307	0.00460122699386503	0.00412339308945778	"condLog"
"timely"	0.00271932041054519	0.000247463499133878	0.00686318631863186	0.000783611328780925	0.00133622849507266	0.00187457396046353	0.00253577649886441	0.00339313431758293	0.000247463499133878	0.0119261926192619	0.00100750027986119	0.00150325705695674	0.00238582140422631	0.00310908248991202	"condLog"
"punctual"	0.00245460780420893	0.00334075723830735	0.00843834383438344	0.00055972237770066	0.000334057123768164	0.00187457396046353	0.000418954378073251	0.00304419497286696	0.00383568423657511	0.0202520252025203	0.00055972237770066	0.000334057123768164	0.00221540558963872	0.000418954378073251	"condLog"
"checkout"	0.00227412193625239	0.00111358574610245	0.000675067506750675	0.00179111160864211	0.0018373141807249	0.00255623721881391	0.00260192719013914	0.00270728801934809	0.00111358574610245	0.000675067506750675	0.00190305608418225	0.00217137130449307	0.00408997955010225	0.00343983594628564	"condLog"
"checkin"	0.0018529882443538	0.00111358574610245	0.000225022502250225	0.00167916713310198	0.00217137130449307	0.00221540558963872	0.0022270732729157	0.00206957128590165	0.00111358574610245	0.000225022502250225	0.00179111160864211	0.00217137130449307	0.00255623721881391	0.00257987695971423	"condLog"
"punctuality"	0.000312842171124668	0.000371195248700817	0.00213771377137714	0.000111944475540132			2.20502304249079e-05	0.000336906953518873	0.000371195248700817	0.00258775877587759	0.000111944475540132			2.20502304249079e-05	"condLog"
"place"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.418823472788747	0.18794852759218	0.110148514851485	0.373334825926341	0.291965926173376	0.544478527607362	0.527022557385725	"condPrp"
"apartment"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.394169103225884	0.574857708487998	0.632875787578758	0.493563192656442	0.575580424252547	0.340320381731425	0.274415117637979	"condPrp"
"clean"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.271631231274591	0.219128928483049	0.309293429342934	0.253106459196239	0.263069984967429	0.319529652351738	0.269586117174924	"condPrp"
"house"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.226269116461514	0.156768126701312	0.461521152115211	0.185603940445539	0.190078503424086	0.137525562372188	0.215011796873277	"condPrp"
"room"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.167948116329158	0.143281365998515	0.192056705670567	0.168812269114519	0.201436445632203	0.147750511247444	0.16416396551344	"condPrp"
"space"	0.00993875512880675	0.00878495421925266	0.00776327632763276	0.00996305832307176	0.0093535994655086	0.00988411724608044	0.00996670415205839	0.075286671720271	0.020168275179411	0.0174392439243924	0.0645919623866562	0.0359111408050777	0.0903203817314247	0.101475160415426	"condPrp"
"flat"	0.00961388056648498	0.00989853996535511	0.00753825382538254	0.00996305832307176	0.00985468515116085	0.00937286980231766	0.00796013318339177	0.0610282881517044	0.085003711952487	0.0256525652565257	0.22847867457741	0.109403708034074	0.0446489434219496	0.0257105686754427	"condPrp"
"property"	0.00843470622916892	0.00457807473397674	0.00371287128712871	0.00861972461659017	0.00901954234174044	0.00835037491479209	0.00899649401336244	0.0236677134847008	0.00581539222964613	0.00562556255625563	0.0287697302138139	0.0255553699682646	0.0219836400817996	0.029216555313003	"condPrp"
"care"	0.00721943471826156	0.00730017322444939	0.00708820882088209	0.00470166797268555	0.00851845665608819	0.00698704839809134	0.0072104253489449	0.0138252174854709	0.0136104924523633	0.0133888388838884	0.00705250195902832	0.0233839986637715	0.0132924335378323	0.0139798460893916	"condPrp"
"tidy"	0.0060041632073542	0.00470180648354368	0.00798829882988299	0.00884361356767044	0.00835142809420411	0.00749829584185412	0.00392494101563361	0.00936120035134582	0.00581539222964613	0.0154140414041404	0.021157505877085	0.0148655420076833	0.0124403544648943	0.00524795484112809	"condPrp"
"neat"	0.00480092408764394	0.00296956198960653	0.00292529252925293	0.00235083398634277	0.00501085685652247	0.005453306066803	0.00553460783665189	0.00661781515840643	0.00358822073744123	0.00348784878487849	0.0027986118885033	0.0065141139134792	0.00732788002726653	0.00842318802231483	"condPrp"
"spotless"	0.00397068909504386	0.00272209849047266	0.00213771377137714	0.00660472405686779	0.00150325705695674	0.00477164280845262	0.00414544331988269	0.00536644647390776	0.00296956198960653	0.00225022502250225	0.00929139146983096	0.00150325705695674	0.00698704839809134	0.00590946175387533	"condPrp"
"immaculate"	0.00314045410244378	0.000866122246968572	0.000337533753375338	0.00414194559498489	0.000167028561884082	0.0027266530334015	0.00399109170690834	0.00398272148624096	0.000989853996535511	0.000337533753375338	0.00503750139930594	0.000167028561884082	0.00323790047716428	0.00562280875835152	"condPrp"
"condition"	0.00271932041054519	0.00272209849047266	0.00416291629162916	0.00291055636404343	0.00267245699014531	0.00153374233128834	0.00229322396419043	0.00316451888483798	0.00346448898787429	0.00562556255625563	0.00302250083958357	0.00317354267579756	0.00170415814587594	0.00280037926396331	"condPrp"
"respect"	0.00163640520280595	0.00334075723830735	0.00416291629162916	0.00055972237770066	0.00116919993318858	0.00153374233128834	0.000882009216996318	0.00193721498273352	0.00408314773570898	0.0063006300630063	0.000783611328780925	0.00167028561884082	0.00187457396046353	0.000948159908271041	"condPrp"
"shape"	0.00122730390210447	0.000618658747834694	0.000337533753375338	0.00055972237770066	0.00116919993318858	0.000852079072937969	0.00163171705144319	0.0013957573788639	0.000618658747834694	0.000337533753375338	0.000783611328780925	0.00116919993318858	0.00119291070211316	0.00191837004696699	"condPrp"
"rules"	0.00109494759893634	0.000989853996535511	0.00157515751575158	0.000671666853240793	0.000668114247536329	0.00136332651670075	0.00114661198209521	0.00127543346689288	0.00123731749566939	0.0018001800180018	0.000783611328780925	0.000668114247536329	0.00136332651670075	0.00132301382549448	"condPrp"
"respected"	0.000986656078162413	0.00160851274437021	0.00112511251125113	0.000447777902160528	0.000501085685652247	0.00102249488752556	0.000992260369120857	0.00102275325175372	0.00173224449393714	0.00112511251125113	0.000447777902160528	0.000501085685652247	0.00102249488752556	0.00101431059954577	"condPrp"
"helpful"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.126568723002322	0.0507300173224449	0.187556255625563	0.196798387999552	0.151160848505094	0.126278118609407	0.110096800511565	"condPrs"
"welcoming"	0.00993875512880675	0.00989853996535511	0.00978847884788479	0.00996305832307176	0.00952062802739268	0.00988411724608044	0.00992260369120857	0.0627970496576785	0.0795595149715417	0.056030603060306	0.0921303033695287	0.0320694838817438	0.0732788002726653	0.0576172521002844	"condPrs"
"available"	0.00991469034641254	0.00989853996535511	0.0099009900990099	0.00884361356767044	0.00985468515116085	0.00971370143149284	0.00981235253908403	0.0565522386263822	0.104800791883197	0.145364536453645	0.0284338967871936	0.042759311842325	0.0429447852760736	0.0389407069303874	"condPrs"
"accommodating"	0.00983046360803282	0.00866122246968572	0.00303780378037804	0.00962722489645136	0.00734925672289962	0.00988411724608044	0.00996670415205839	0.045506503507442	0.0214055926750804	0.00371287128712871	0.0370536214037837	0.0120260564556539	0.0570892978868439	0.0623801018720646	"condPrs"
"welcome"	0.00981843121683572	0.00989853996535511	0.00967596759675968	0.00996305832307176	0.00985468515116085	0.00954328561690525	0.00904059447421226	0.0418486565835228	0.070898292501856	0.0484923492349235	0.0730997425277063	0.0502755971271087	0.0357873210633947	0.0285550484002558	"condPrs"
"responsive"	0.00963794534887918	0.00816629547141797	0.00202520252025203	0.00716444643456845	0.00567897110405879	0.00903203817314247	0.00992260369120857	0.0334981770927336	0.0185597624350408	0.00213771377137714	0.014440837344677	0.00851845665608819	0.0299931833674165	0.0495689179951931	"condPrs"
"help"	0.00873551600909649	0.00866122246968572	0.00821332133213321	0.00951528042091123	0.00801737097043594	0.00954328561690525	0.00875394147868845	0.022283988497034	0.020292006928978	0.0173267326732673	0.0331355647598791	0.0220477701686988	0.026414451261077	0.0205728649864391	"condPrs"
"welcomed"	0.00854299774994285	0.00977480821578817	0.0099009900990099	0.00772416881226911	0.00885251377985636	0.00800954328561691	0.00718837511851999	0.0210687169861267	0.0419450631031923	0.0437668766876688	0.0163438934288593	0.0272256555871054	0.0165303340149966	0.0134947410200437	"condPrs"
"needs"	0.00856706253233705	0.00346448898787429	0.00911341134113411	0.00850778014105004	0.00785034240855186	0.00869120654396728	0.00875394147868845	0.0205513241646512	0.00544419698094531	0.0244149414941494	0.0185827829396619	0.014197427760147	0.0190865712338105	0.0237260479372009	"condPrs"
"helped"	0.00818202601402977	0.0066815144766147	0.00663816381638164	0.00850778014105004	0.00818439953232003	0.00903203817314247	0.00811448479636612	0.0172905461502364	0.0102697352140559	0.0123762376237624	0.0205977834993843	0.0218807416068148	0.0180640763462849	0.0180591387179996	"condPrs"
"flexible"	0.00777292471332828	0.00767136847315021	0.00495049504950495	0.00817194671442964	0.00868548521797227	0.00766871165644172	0.0077837313399925	0.015954950727358	0.0155902004454343	0.00753825382538254	0.0201500055972238	0.0195423417404376	0.0144853442399455	0.0164935723578311	"condPrs"
"hospitality"	0.0073999205862181	0.00779510022271715	0.00945094509450945	0.00638083510578753	0.00634708535159512	0.00715746421267894	0.00692377235342109	0.0147998411724362	0.0148478099480327	0.0320657065706571	0.00929139146983096	0.00968765658927677	0.0136332651670075	0.0132301382549448	"condPrs"
"attentive"	0.00719536993586736	0.00866122246968572	0.00843834383438344	0.00660472405686779	0.00534491398029063	0.00698704839809134	0.00657096866662257	0.0137650555294854	0.0237564959168523	0.0235148514851485	0.0105227807007724	0.00885251377985636	0.0115882753919564	0.0115322705122269	"condPrs"
"incredibly"	0.00715927276227605	0.00136104924523633	0.00123762376237624	0.00828389118996978	0.0046767997327543	0.00715746421267894	0.00789398249211704	0.0134401809671636	0.00160851274437021	0.00135013501350135	0.0188066718907422	0.00634708535159512	0.0143149284253579	0.0175960838790765	"condPrs"
"greeted"	0.00637716733446438	0.00742390497401633	0.00832583258325833	0.00559722377700661	0.00334057123768164	0.00562372188139059	0.0061079138276995	0.0104200507766909	0.0131155654540955	0.0176642664266427	0.00861972461659017	0.00400868548521797	0.00971370143149284	0.00974620184780931	"condPrs"
"ready"	0.00620871385770494	0.00618658747834694	0.00832583258325833	0.00582111272808687	0.00618005678971104	0.00596455351056578	0.00604176313642478	0.0102636296911285	0.00952734471665429	0.0166516651665167	0.00828389118996978	0.00885251377985636	0.010054533060668	0.00965800092610968	"condPrs"
"hospitable"	0.00605229277214261	0.00272209849047266	0.00821332133213321	0.00615694615470727	0.00434274260898614	0.00477164280845262	0.00606381336684968	0.00967404252247049	0.00383568423657511	0.0164266426642664	0.00828389118996978	0.0065141139134792	0.00698704839809134	0.0103415580692818	"condPrs"
"organized"	0.00528221973552804	0.00482553823311062	0.00731323132313231	0.00201500055972238	0.00668114247536329	0.00579413769597819	0.00498335207602919	0.00810983166684715	0.00754763672358327	0.0114761476147615	0.00235083398634277	0.0138633706363788	0.0105657805044308	0.00754117880531852	"condPrs"
"generous"	0.00524612256193673	0.00346448898787429	0.00292529252925293	0.00615694615470727	0.00501085685652247	0.00528289025221541	0.00560075852792662	0.00792934579889061	0.00482553823311062	0.00326282628262826	0.0110825030784731	0.00668114247536329	0.00886162235855487	0.00870984101783864	"condPrs"
"availability"	0.0037180088799047	0.00631031922791388	0.00922592259225923	0.00111944475540132	0.00100217137130449	0.00119291070211316	0.00105841106039558	0.00521002538834543	0.00915614946795348	0.0307155715571557	0.00111944475540132	0.00116919993318858	0.00153374233128834	0.00119071244294503	"condPrs"
"warmly"	0.00374207366229891	0.00705270972531552	0.00315031503150315	0.00391805664390462	0.0075162852847837	0.00306748466257669	0.00198452073824171	0.00471669734926422	0.0139816877010641	0.00393789378937894	0.00447777902160528	0.0130282278269584	0.00426039536468984	0.00218297281206589	"condPrs"
"considerate"	0.00364581453272209	0.00408314773570898	0.00247524752475248	0.00414194559498489	0.00217137130449307	0.00255623721881391	0.00374853917223435	0.00458434104609609	0.00556792873051225	0.00303780378037804	0.00615694615470727	0.00233839986637715	0.00323790047716428	0.00487310092390466	"condPrs"
"caring"	0.00359768496793368	0.00606285572878	0.00641314131413141	0.00223888951080264	0.00734925672289962	0.00340831629175187	0.00185221935569227	0.00440385517813955	0.00977480821578817	0.009000900090009	0.00268666741296317	0.0108568565224653	0.00391956373551466	0.00209477189036625	"condPrs"
"precise"	0.00287574149610752	0.00210343974263796	0.00956345634563456	0.000335833426620396	0.00133622849507266	0.00102249488752556	0.000396904147648343	0.00404288344222647	0.00210343974263796	0.0315031503150315	0.000335833426620396	0.00150325705695674	0.00119291070211316	0.000396904147648343	"condPrs"
"helping"	0.00302013019047275	0.00148478099480327	0.00168766876687669	0.00481361244822568	0.00250542842826123	0.00255623721881391	0.00326343410288638	0.00376613844469311	0.00185597624350408	0.0018001800180018	0.005933057203627	0.00250542842826123	0.00306748466257669	0.00427774470243214	"condPrs"
"uncomplicated"	0.00245460780420893	0.000123731749566939	0.000112511251125113	0.000111944475540132	0.00952062802739268	0.000340831629175187	0.000132301382549448	0.00327281040561191	0.000123731749566939	0.000112511251125113	0.000223888951080264	0.0432603975279773	0.000340831629175187	0.000132301382549448	"condPrs"
"reliable"	0.00261102888977126	0.00136104924523633	0.0036003600360036	0.00201500055972238	0.00684817103724737	0.00187457396046353	0.00180811889484245	0.00311638932004957	0.00148478099480327	0.00416291629162916	0.00235083398634277	0.0135293135126107	0.00187457396046353	0.00207272165994135	"condPrs"
"impeccable"	0.0023222515010408	0.00581539222964613	0.00641314131413141	0.00123138923094145	0.00116919993318858	0.000681663258350375	0.00127891336464466	0.00294793584329014	0.00791883197228409	0.0103510351035104	0.00134333370648159	0.00133622849507266	0.000681663258350375	0.0013891645167692	"condPrs"
"respectful"	0.00215379802428137	0.00210343974263796	0.00213771377137714	0.000895555804321057	0.000835142809420411	0.00357873210633947	0.00231527419461533	0.00263509367216547	0.00235090324177184	0.00258775877587759	0.00123138923094145	0.000835142809420411	0.00443081117927744	0.00297678110736257	"condPrs"
"accomodating"	0.00221395998026688	0.00296956198960653	0.00045004500450045	0.00156722265756185	0.000334057123768164	0.00374914792092706	0.00238142488589006	0.00256289932498285	0.00358822073744123	0.00045004500450045	0.00156722265756185	0.000334057123768164	0.00511247443762781	0.00293268064651276	"condPrs"
"arrangements"	0.00204550650350744	0.000866122246968572	0.000337533753375338	0.00246277846188291	0.00167028561884082	0.00289706884798909	0.00240347511631497	0.00239444584822342	0.000989853996535511	0.000337533753375338	0.00347027874174409	0.00167028561884082	0.00289706884798909	0.00286652995523803	"condPrs"
"organised"	0.00154014607322913	0.00173224449393714	0.0018001800180018	0.0062688906302474	0.00317354267579756	0.000681663258350375	0.000132301382549448	0.00172063194118567	0.00197970799307102	0.0018001800180018	0.0087316690921303	0.00367462836144981	0.000681663258350375	0.000132301382549448	"condPrs"
"generosity"	0.000697878689431951	0.00160851274437021	0.000225022502250225	0.00055972237770066		0.00102249488752556	0.000661506912747238	0.000794137819008772	0.00160851274437021	0.000337533753375338	0.00055972237770066		0.00136332651670075	0.000815858525721594	"condPrs"
